Rule ID, Reason Code, Rule message, Reason message, Violation Level, Toolkit Level, WCAG Requirements, ACT mapping
"applet_alt_exists","Pass_0","<applet> elements must provide an 'alt' attribute and an alternative description","Rule Passed","Pass","1","1.1.1",""
"applet_alt_exists","Fail_1","<applet> elements must provide an 'alt' attribute and an alternative description","An <applet> element does not have an 'alt' attribute that provides a short text alternative","Violation","1","1.1.1",""
"applet_alt_exists","Fail_2","<applet> elements must provide an 'alt' attribute and an alternative description","The 'alt' attribute value for an <applet> element duplicates the 'code' attribute","Violation","1","1.1.1",""
"applet_alt_exists","Fail_3","<applet> elements must provide an 'alt' attribute and an alternative description","An <applet> element provides alternative text, but does not provide inner content","Violation","1","1.1.1",""
"img_alt_redundant","Pass_0","The text alternative for an image within a link should not repeat the link text or adjacent link text","Rule Passed","Pass","2","1.1.1,2.4.4",""
"img_alt_redundant","Fail_1","The text alternative for an image within a link should not repeat the link text or adjacent link text","Link text is repeated in an image 'alt' value within the same link","Violation","2","1.1.1,2.4.4",""
"img_alt_redundant","Fail_2","The text alternative for an image within a link should not repeat the link text or adjacent link text","Link text of previous link is repeated in image 'alt' value of a link","Violation","2","1.1.1,2.4.4",""
"img_alt_redundant","Fail_3","The text alternative for an image within a link should not repeat the link text or adjacent link text","Image 'alt' value within a link is repeated in link text of the link after","Violation","2","1.1.1,2.4.4",""
"img_alt_valid","pass","Images must have accessible names unless they are decorative or redundant","The image has an accessible name or is correctly marked as decorative or redundant","Pass","1","1.1.1","23a2a8:pass"
"img_alt_valid","fail_blank_alt","Images must have accessible names unless they are decorative or redundant","Image 'alt' attribute value consists only of blank space(s)","Violation","1","1.1.1","23a2a8:fail"
"img_alt_valid","fail_no_alt","Images must have accessible names unless they are decorative or redundant","The image has neither an accessible name nor is marked as decorative or redundant","Violation","1","1.1.1","23a2a8:fail"
"img_alt_valid","fail_blank_title","Images must have accessible names unless they are decorative or redundant","The image does not have an 'alt' attribute or ARIA label, and the 'title' attribute value consists only of blank space(s)","Violation","1","1.1.1","23a2a8:fail"
"imagebutton_alt_exists","Pass_0","The <input> element of type ""image"" should have a text alternative","Image button provides alternative text using the 'alt' attribute","Pass","1","1.1.1","59796f:pass"
